"uid_local","uid_foreign","sorting","sorting_foreign"
"286","5","1","0"
"286","9","2","0"
"286","10","3","0"
"287","17","1","0"
"287","402","5","0"
"287","768","3","0"
"287","1697","4","0"
"287","3029","2","0"
"287","3031","3","0"
"287","3584","2","0"
"288","3165","2","0"
"288","3849","1","0"
"288","4317","1","0"
"289","1","1","0"
"290","1","2","0"
"290","5","1","0"
"291","1","1","0"
"292","1","2","0"
"292","17","1","0"
"293","17","1","0"
"294","1","1","0"
"295","1","1","0"
"296","1","1","0"
"297","1697","2","0"
"297","3584","1","0"
"297","3748","1","0"
"298","1697","2","0"
"298","3584","1","0"
"298","3750","1","0"
"299","1","2","0"
"299","17","1","0"
"300","1","2","0"
"300","17","1","0"
"301","1","2","0"
"301","17","1","0"
"302","1","1","0"
"303","1","1","0"
"303","451","3","0"
"303","4610","2","0"
"303","4680","1","0"
"304","402","4","0"
"304","768","2","0"
"304","1697","3","0"
"304","3584","1","0"
"304","4148","1","0"
"304","4150","2","0"
"306","17","1","0"
"306","402","5","0"
"306","768","3","0"
"306","1697","4","0"
"306","3438","2","0"
"306","3440","3","0"
"306","3584","2","0"
"307","1","1","0"
"307","451","3","0"
"307","4013","1","0"
"307","4610","2","0"
"308","1","2","0"
"308","10","1","0"
"309","402","3","0"
"309","768","2","0"
"309","3158","1","0"
"309","3161","2","0"
"309","3843","1","0"
"310","6","1","0"
"310","7","2","0"
"310","8","3","0"
"310","480","10","0"
"310","796","6","0"
"310","1541","8","0"
"310","1697","9","0"
"310","1885","5","0"
"310","3217","1","0"
"310","3219","2","0"
"310","3241","6","0"
"310","3246","4","0"
"310","3251","8","0"
"310","3584","7","0"
"311","1","2","0"
"311","17","1","0"
"312","1","1","0"
"312","402","3","0"
"312","768","2","0"
"312","4160","2","0"
"313","1","1","0"
"313","402","3","0"
"313","768","4","0"
"313","4165","2","0"
"314","1","1","0"
"315","1","1","0"
"316","1","1","0"
"317","1","2","0"
"317","10","1","0"
"318","1","2","0"
"318","9","1","0"
"319","1","1","0"
"320","3165","2","0"
"320","3797","1","0"
"320","3849","1","0"
"321","1","2","0"
"321","17","1","0"
"322","3165","2","0"
"322","3726","1","0"
"322","3849","1","0"
"323","1","1","0"
"324","3158","2","0"
"324","3803","1","0"
"324","3843","1","0"
"325","5","1","0"
"325","9","2","0"
"325","10","3","0"
"326","1","2","0"
"326","17","1","0"
"327","1","1","0"
"327","402","3","0"
"327","768","2","0"
"327","4170","2","0"
"328","1","2","0"
"328","17","1","0"
"329","1","2","0"
"329","17","1","0"
"330","3165","2","0"
"330","3849","1","0"
"330","4706","1","0"
"331","1","1","0"
"332","1","2","0"
"332","5","1","0"
"335","17","1","0"
"335","402","5","0"
"335","768","3","0"
"335","1697","4","0"
"335","3584","2","0"
"335","4685","2","0"
"335","4687","3","0"
"336","5","1","0"
"337","1","1","0"
"338","1","1","0"
"339","1","2","0"
"339","17","1","0"
"340","1","2","0"
"340","17","1","0"
"341","1","1","0"
"341","457","3","0"
"341","3451","1","0"
"341","4616","2","0"
"342","1","1","0"
"343","1","2","0"
"343","17","1","0"
"344","1","2","0"
"344","17","1","0"
"345","1","2","0"
"345","10","1","0"
"346","1","2","0"
"346","17","1","0"
"347","1","2","0"
"347","17","1","0"
"349","1697","2","0"
"349","2562","1","0"
"349","4548","1","0"
"350","1","1","0"
"351","1","2","0"
"351","17","1","0"
"352","4","1","0"
"352","453","3","0"
"352","3977","1","0"
"352","4614","2","0"
"353","1","2","0"
"353","10","1","0"
"354","1","1","0"
"355","15","1","0"
"355","402","3","0"
"355","768","2","0"
"355","4187","2","0"
"356","1","1","0"
"357","1","1","0"
"358","5","1","0"
"358","9","2","0"
"358","10","3","0"
"359","3165","2","0"
"359","3829","1","0"
"359","3849","1","0"
"360","1","1","0"
"361","1","1","0"
"362","1","1","0"
"365","4","1","0"
"365","402","13","0"
"365","451","8","0"
"365","453","10","0"
"365","457","11","0"
"365","473","9","0"
"365","768","7","0"
"365","1697","12","0"
"365","3584","6","0"
"365","4610","2","0"
"365","4612","3","0"
"365","4614","4","0"
